budget,companies,country,genre,gross,language,name,rating,released,runtime,score,votes,year
15000000.0,"Paramount Pictures,Don Simpson/Jerry Bruckheimer Films",USA,"Action,Drama",35683060.0,English,Top Gun,PG,1986-05-16,110,6.9,254409,1986
18500000.0,"Twentieth Century Fox,Brandywine Productions,SLM Production Group",USA,"Action,Adventure,Sci-Fi,Thriller",13106024.0,English,Aliens,R,1986-07-18,137,8.4,582947,1986
16000000.0,"Thorn EMI Screen Entertainment,Highlander Productions Limited,Davis-Panzer Productions",UK,"Action,Adventure,Fantasy",1288519.0,English,Highlander,R,1986-03-07,116,7.2,110612,1986
8000000.0,"Columbia Pictures Corporation,Act III,Act III Communications,The Body",USA,"Adventure,Drama",5228741.0,English,Stand by Me,R,1986-11-04,89,8.1,324695,1986
6000000.0,Paramount Pictures,USA,"C,o,m,e,d,y",7013636.0,"English,German",Ferris Bueller's Day Off,PG-13,1986-06-11,103,7.8,281414,1986
25000000.0,"Twentieth Century Fox,TAFT Entertainment Pictures",USA,"Action,Adventure,Comedy,Fantasy",1110000.0,"English,Cantonese",Big Trouble in Little China,PG-13,1986-07-02,99,7.3,109475,1986
6000000.0,"Hemdale,Cinema 86",USA,"Drama,War",13853056.0,"English,Vietnamese",Platoon,R,1987-02-06,120,8.1,342554,1987
25000000.0,"Henson Associates,Lucasfilm,The Jim Henson Company,Delphi V Productions,Henson Organisation,TriStar Pictures",UK,"Adventure,Family,Fantasy,Musical",1272991.0,English,Labyrinth,PG,1986-06-27,101,7.4,109898,1986
17000000.0,"Producers Sales Organization,Jonesfilm,Galactic Films,Triple Ajaxxx",USA,"Drama,Romance",673484.0,"English,Spanish",Nine 1/2 Weeks,R,1986-02-14,117,5.9,33707,1986
6000000.0,De Laurentiis Entertainment Group,USA,"Drama,Mystery,Thriller",855122.0,English,Blue Velvet,R,1986-10-23,120,7.8,157706,1986
15000000.0,"SLM Production Group,Brooksfilms",USA,"Drama,Horror,Sci-Fi",2017259.0,English,The Fly,R,1986-08-15,96,7.5,140501,1986
9000000.0,Paramount Pictures,USA,"Comedy,Drama,Romance",4047166.0,English,Pretty in Pink,PG-13,1986-02-28,97,6.8,65211,1986
